epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.5361,1.2272,0.65,1,0.90229,0.0002875,0.0002875,0.0002875
2,51.5671,0.71715,0.8625,1,0.38861,0.000529338,0.000529338,0.000529338
3,71.8683,0.35429,0.95,1,0.20491,0.000711775,0.000711775,0.000711775
4,86.5148,0.20445,0.9625,1,0.11114,0.000834813,0.000834813,0.000834813
5,109.42,0.16103,0.9625,1,0.08861,0.000755,0.000755,0.000755
6,132.109,0.15763,0.9625,1,0.08088,0.00063125,0.00063125,0.00063125
7,153.97,0.0984,0.9625,1,0.1066,0.0005075,0.0005075,0.0005075
8,179.664,0.09593,0.975,1,0.06659,0.00038375,0.00038375,0.00038375
9,192.96,0.10221,0.975,1,0.058,0.00026,0.00026,0.00026
10,204.063,0.09204,0.975,1,0.06581,0.00013625,0.00013625,0.00013625
